Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
JC233857,04/04/2019 12:00:00 PM,081XX S INGLESIDE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,false,0631,8,11,1183979,1851235,2019,41.746966294,-87.601424385,"(41.746966294, -87.601424385)"
JC233876,04/04/2019 09:00:00 AM,008XX N LAKE SHORE DR,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,false,false,1833,2,11,1179014,1906275,2019,41.898114883,-87.617938027,"(41.898114883, -87.617938027)"
JC233954,04/15/2019 08:00:00 AM,009XX S CLAREMONT AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,1225,28,06,1160861,1895832,2019,41.869854394,-87.68490201,"(41.869854394, -87.68490201)"
JC233965,04/19/2019 05:30:00 PM,067XX S OGLESBY AVE,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,false,false,0331,5,06,1192924,1860831,2019,41.773085006,-87.568335406,"(41.773085006, -87.568335406)"
JC233972,04/19/2019 05:00:00 AM,018XX W ADDISON ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,TAXICAB,false,false,1922,47,11,1163315,1923930,2019,41.94690608,-87.675101058,"(41.94690608, -87.675101058)"
JC233893,04/17/2019 11:51:00 AM,059XX W RICE ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1511,29,26,1136756,1905062,2019,41.895648314,-87.773178483,"(41.895648314, -87.773178483)"
JC234043,04/15/2019 04:00:00 PM,060XX S PRAIRIE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,false,false,0311,20,11,1179075,1865009,2019,41.784876685,-87.618974609,"(41.784876685, -87.618974609)"
JC233998,04/11/2019 02:00:00 PM,009XX N WINCHESTER AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,1212,2,06,1163233,1906250,2019,41.898392752,-87.675900696,"(41.898392752, -87.675900696)"
JC233898,04/19/2019 11:30:00 AM,021XX N CICERO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,false,false,2522,36,07,1144046,1913758,2019,41.919377353,-87.746185004,"(41.919377353, -87.746185004)"
JC233979,04/17/2019 06:00:00 PM,020XX W 71ST ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0735,17,07,1163672,1857565,2019,41.764786633,-87.675657286,"(41.764786633, -87.675657286)"
JC234032,04/19/2019 01:00:00 PM,083XX S WOOD ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,false,false,0614,21,08B,1165800,1849377,2019,41.742272692,-87.668089605,"(41.742272692, -87.668089605)"
JC233828,04/18/2019 05:00:00 PM,094XX S CALUMET AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),false,false,0633,9,07,1180244,1842422,2019,41.722868735,-87.615379669,"(41.722868735, -87.615379669)"
JC234080,04/17/2019 05:00:00 PM,033XX S DEARBORN ST,0890,THEFT,FROM BUILDING,"SCHOOL, PRIVATE, BUILDING",false,false,0211,3,06,1176509,1882963,2019,41.834202217,-87.627842215,"(41.834202217, -87.627842215)"
JC233933,04/08/2019 04:57:00 PM,026XX W CORTEZ ST,0810,THEFT,OVER $500,APARTMENT,false,false,1211,26,06,1158661,1906886,2019,41.900232902,-87.692675898,"(41.900232902, -87.692675898)"
JC234020,04/15/2019 12:50:00 PM,126XX S MARQUETTE AVE,0810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,false,false,0433,10,06,1196416,1821493,2019,41.665052041,-87.556835476,"(41.665052041, -87.556835476)"
JC234133,04/17/2019 09:30:00 PM,048XX W HUBBARD ST,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,RESIDENCE,false,true,1532,28,20,1143946,1902569,2019,41.888675382,-87.746833491,"(41.888675382, -87.746833491)"
JC233801,04/12/2019 12:00:00 PM,042XX W CRYSTAL ST,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,false,false,2534,37,10,1147834,1907991,2019,41.90348012,-87.732415703,"(41.90348012, -87.732415703)"
JC234067,04/19/2019 12:00:00 PM,032XX W ROOSEVELT RD,0820,THEFT,$500 AND UNDER,STREET,false,false,1134,24,06,1155131,1894531,2019,41.86640116,-87.705973505,"(41.86640116, -87.705973505)"
JC234130,04/11/2019 01:01:00 PM,035XX S LAKE PARK AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,false,false,0212,4,02,1181946,1881746,2019,41.83073842,-87.607930466,"(41.83073842, -87.607930466)"
JC234006,04/11/2019 11:03:00 AM,110XX S ALBANY AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,false,false,2211,19,02,1157652,1831244,2019,41.692681542,-87.698434014,"(41.692681542, -87.698434014)"
JC234228,04/16/2019 06:00:00 PM,033XX S LOWE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0915,11,06,1172512,1882697,2019,41.833561435,-87.642515948,"(41.833561435, -87.642515948)"
JC234096,04/19/2019 08:00:00 AM,057XX W PATTERSON AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE,false,true,1633,36,26,1137402,1923689,2019,41.946751318,-87.770356704,"(41.946751318, -87.770356704)"
JC233032,04/18/2019 08:00:00 PM,013XX S MORGAN ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,1232,25,06,1170122,1893841,2019,41.864193936,-87.650960409,"(41.864193936, -87.650960409)"
JC234093,04/19/2019 03:30:00 PM,017XX W 18TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1234,25,07,1165285,1891456,2019,41.85775341,-87.668784595,"(41.85775341, -87.668784595)"
JC234292,04/01/2019 11:00:00 AM,079XX S WABASH AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,false,false,0623,6,26,1178087,1852414,2019,41.750337109,-87.622978389,"(41.750337109, -87.622978389)"
JC234209,04/18/2019 11:59:00 AM,023XX N MARMORA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,2515,36,14,1136676,1914847,2019,41.922500967,-87.773237639,"(41.922500967, -87.773237639)"
JC234295,04/19/2019 10:00:00 PM,033XX N HALSTED ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1925,44,06,1170328,1922582,2019,41.943056436,-87.649362967,"(41.943056436, -87.649362967)"
JC234344,04/18/2019 01:12:00 PM,010XX N LECLAIRE AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1531,37,06,1142173,1906364,2019,41.899122381,-87.753250466,"(41.899122381, -87.753250466)"
JC233988,04/17/2019 04:34:00 PM,010XX W GRANVILLE AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,SMALL RETAIL STORE,false,false,2433,48,10,1167966,1941343,2019,41.994588612,-87.657500483,"(41.994588612, -87.657500483)"
JC234317,04/13/2019 07:00:00 AM,015XX W 87TH ST,0820,THEFT,$500 AND UNDER,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",false,false,2221,21,06,1167706,1847040,2019,41.735818981,-87.661172893,"(41.735818981, -87.661172893)"
JC234369,04/04/2019 06:00:00 PM,049XX N CLAREMONT AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,true,2031,40,26,1159800,1932722,2019,41.971105144,-87.687777731,"(41.971105144, -87.687777731)"
JC234364,04/12/2019 01:30:00 PM,014XX E 61ST PL,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,"SCHOOL, PUBLIC, GROUNDS",false,false,0314,20,20,1186760,1864494,2019,41.783284821,-87.590814803,"(41.783284821, -87.590814803)"
JC234294,04/16/2019 03:30:00 PM,100XX W OHARE ST,0890,THEFT,FROM BUILDING,AIRPORT EXTERIOR - NON-SECURE AREA,false,false,1651,41,06,1100658,1934241,2019,41.976290414,-87.905227221,"(41.976290414, -87.905227221)"
JC234312,04/13/2019 08:00:00 PM,043XX S MARSHFIELD AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,0924,15,06,1166064,1875894,2019,41.815033139,-87.666368742,"(41.815033139, -87.666368742)"
JC234224,04/03/2019 11:00:00 AM,043XX W WRIGHTWOOD AVE,0560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,2524,31,08A,1146828,1916920,2019,41.928001461,-87.735882518,"(41.928001461, -87.735882518)"
JC233480,04/19/2019 02:00:00 PM,0000X W GOETHE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,false,false,1824,2,11,1175835,1909053,2019,41.905809996,-87.62953037,"(41.905809996, -87.62953037)"
JC234113,04/19/2019 03:15:00 PM,006XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,STREET,false,false,1834,42,06,1177327,1904307,2019,41.892753031,-87.624193896,"(41.892753031, -87.624193896)"
JC234068,04/10/2019 05:00:00 PM,0000X N MICHIGAN AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0114,42,06,1177306,1900580,2019,41.882526427,-87.624384106,"(41.882526427, -87.624384106)"
JC233660,04/18/2019 01:48:00 AM,014XX N MILWAUKEE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,VEHICLE-COMMERCIAL,false,false,1424,1,14,1163453,1910041,2019,41.908790904,-87.674985793,"(41.908790904, -87.674985793)"
JC234082,04/19/2019 11:35:00 AM,027XX W LUNT AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,2411,50,06,1156894,1946326,2019,42.008494713,-87.698092367,"(42.008494713, -87.698092367)"
JC233408,04/10/2019 08:20:00 AM,025XX N Racine Ave,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,,false,false,1932,43,11,1167879,1916891,2019,41.927493325,-87.658528837,"(41.927493325, -87.658528837)"
JC233477,04/19/2019 01:15:00 PM,002XX W WACKER DR,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,0122,42,06,1174575,1902121,2019,41.886816493,-87.634366196,"(41.886816493, -87.634366196)"
JC234162,04/12/2019 08:00:00 AM,009XX W CARMEN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2024,48,06,1169134,1933966,2019,41.974320585,-87.653419487,"(41.974320585, -87.653419487)"
JC233655,04/11/2019 01:16:00 PM,012XX W 31ST ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,0913,11,06,1168371,1884242,2019,41.837891442,-87.657665504,"(41.837891442, -87.657665504)"
JC234146,04/07/2019 03:37:00 PM,013XX N ASHLAND AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,1433,1,06,1165480,1909088,2019,41.906132875,-87.667566751,"(41.906132875, -87.667566751)"
JC234360,04/19/2019 02:45:00 PM,061XX S MARSHFIELD AVE,051B,ASSAULT,AGGRAVATED: OTHER FIREARM,SIDEWALK,false,false,0714,15,04A,1166391,1864085,2019,41.78262088,-87.665505795,"(41.78262088, -87.665505795)"
JC234438,04/06/2019 03:00:00 PM,007XX W WAVELAND AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,1925,46,11,1170750,1924888,2019,41.949374935,-87.647744126,"(41.949374935, -87.647744126)"
JC234402,04/05/2019 11:00:00 AM,048XX W ARGYLE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,1623,45,11,1143277,1932810,2019,41.971672194,-87.748532859,"(41.971672194, -87.748532859)"
JC234429,04/15/2019 08:30:00 PM,013XX W RANDOLPH ST,0810,THEFT,OVER $500,STREET,false,false,1224,27,06,1167223,1901142,2019,41.884291199,-87.661392684,"(41.884291199, -87.661392684)"
JC234591,04/03/2019 10:30:00 PM,021XX W LEXINGTON ST,0266,CRIM SEXUAL ASSAULT,PREDATORY,ALLEY,false,false,1225,28,02,1162296,1896746,2019,41.872332627,-87.679608149,"(41.872332627, -87.679608149)"
JC233578,04/14/2019 11:34:00 AM,127XX S PARNELL AVE,1240,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,RESIDENCE,false,false,0523,9,11,1174952,1820496,2019,41.66281995,-87.635414331,"(41.66281995, -87.635414331)"
JC233652,04/19/2019 05:00:00 PM,079XX S PHILLIPS AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0422,7,05,1193903,1852866,2019,41.751204496,-87.565007496,"(41.751204496, -87.565007496)"
JC234478,04/08/2019 12:00:00 AM,059XX S WHIPPLE ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0824,16,26,1157062,1865192,2019,41.785852383,-87.69967898,"(41.785852383, -87.69967898)"
JC215771,04/08/2019 12:00:00 AM,024XX S WHIPPLE ST,0560,ASSAULT,SIMPLE,STREET,false,true,1033,12,08A,1156416,1887604,2019,41.847366846,-87.701443274,"(41.847366846, -87.701443274)"
JC233919,04/19/2019 12:30:00 PM,015XX S PRAIRIE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,false,false,0132,3,11,1178341,1893005,2019,41.861716671,-87.620814506,"(41.861716671, -87.620814506)"
JC234759,04/16/2019 11:00:00 AM,035XX S ARCHER AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,0912,12,06,1162770,1881321,2019,41.829994967,-87.678299881,"(41.829994967, -87.678299881)"
JC234773,04/19/2019 11:00:00 PM,025XX N OAK PARK AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,2512,36,06,1130657,1916193,2019,41.926300306,-87.795322714,"(41.926300306, -87.795322714)"
JC234757,04/15/2019 10:30:00 PM,048XX S CHAMPLAIN AVE,0810,THEFT,OVER $500,STREET,false,false,0223,4,06,1181414,1873085,2019,41.806984287,-87.610149827,"(41.806984287, -87.610149827)"
JC234779,04/19/2019 07:00:00 PM,0000X E 75TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0623,6,14,1178198,1855308,2019,41.758276061,-87.622484015,"(41.758276061, -87.622484015)"
JC234801,04/06/2019 12:00:00 PM,079XX S ELLIS AVE,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,false,false,0624,8,06,1184268,1852623,2019,41.750768359,-87.600322097,"(41.750768359, -87.600322097)"
JC233911,04/04/2019 12:00:00 AM,004XX W 127TH ST,0810,THEFT,OVER $500,RESIDENCE,false,false,0523,9,06,1175507,1820670,2019,41.663285084,-87.633378152,"(41.663285084, -87.633378152)"
JC234826,04/15/2019 11:00:00 AM,005XX W WISCONSIN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1813,43,11,1172504,1912910,2019,41.916468142,-87.641651944,"(41.916468142, -87.641651944)"
JC234878,04/16/2019 03:30:00 PM,015XX S DRAKE AVE,0460,BATTERY,SIMPLE,STREET,false,false,1021,24,08B,1152958,1892150,2019,41.859910726,-87.714013899,"(41.859910726, -87.714013899)"
JC234906,04/19/2019 10:45:00 PM,042XX N HAZEL ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,false,1915,46,26,1169501,1928923,2019,41.960474443,-87.652217355,"(41.960474443, -87.652217355)"
JC230234,04/19/2019 12:38:00 PM,014XX W CHICAGO AVE,1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,OTHER,true,false,1213,1,16,1166399,1905446,2019,41.896119356,-87.664295268,"(41.896119356, -87.664295268)"
JC234854,04/17/2019 12:01:00 AM,105XX S AVENUE O,1050,HUMAN TRAFFICKING,COMMERCIAL SEX ACTS,RESIDENCE,false,false,0432,10,26,1200858,1835629,2019,41.703731612,-87.540103547,"(41.703731612, -87.540103547)"
JC234925,04/04/2019 12:00:00 AM,020XX N ELSTON AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,COMMERCIAL / BUSINESS OFFICE,false,false,1432,2,11,1165443,1913413,2019,41.918001743,-87.667579346,"(41.918001743, -87.667579346)"
JC234928,04/09/2019 11:00:00 AM,083XX S MAY ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,0613,21,06,1170106,1849513,2019,41.742553465,-87.652308483,"(41.742553465, -87.652308483)"
JC234874,04/19/2019 10:30:00 AM,036XX W OHIO ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,1122,27,06,1151791,1903752,2019,41.891770903,-87.71799234,"(41.891770903, -87.71799234)"
JC234937,04/12/2019 10:00:00 AM,001XX E WALTON ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,TAXICAB,false,false,1833,2,11,1177551,1906957,2019,41.900019673,-87.623290698,"(41.900019673, -87.623290698)"
JC234918,04/11/2019 02:00:00 PM,051XX W IOWA ST,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,false,false,1531,37,03,1141982,1905504,2019,41.896765982,-87.753973344,"(41.896765982, -87.753973344)"
JC234855,04/11/2019 09:00:00 PM,064XX S COTTAGE GROVE AVE,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,APARTMENT,false,true,0312,20,02,1182672,1862388,2019,41.777601657,-87.605867915,"(41.777601657, -87.605867915)"
JC235004,04/19/2019 05:00:00 PM,019XX W HOOD AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2413,40,06,1162478,1940766,2019,41.993122382,-87.677704046,"(41.993122382, -87.677704046)"
JC234840,04/04/2019 09:00:00 PM,053XX S CORNELL AVE,0810,THEFT,OVER $500,STREET,false,false,0234,5,06,1188157,1870260,2019,41.799073935,-87.585509129,"(41.799073935, -87.585509129)"
JC235020,04/10/2019 12:30:00 PM,071XX S CHAMPLAIN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,0323,6,07,1181798,1857885,2019,41.765265227,-87.609210963,"(41.765265227, -87.609210963)"
JC235093,04/13/2019 06:00:00 AM,114XX S MORGAN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),false,false,2234,34,14,1171709,1828849,2019,41.68581343,-87.647038571,"(41.68581343, -87.647038571)"
JC234980,04/16/2019 11:00:00 AM,092XX S ABERDEEN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,2222,21,11,1170616,1843329,2019,41.725572609,-87.650619569,"(41.725572609, -87.650619569)"
JC235060,04/12/2019 05:30:00 PM,035XX N OTTAWA AVE,1549,PROSTITUTION,OTHER PROSTITUTION OFFENSE,RESIDENCE,true,false,1631,38,16,1124454,1922675,2019,41.944192284,-87.817973161,"(41.944192284, -87.817973161)"
JC234934,04/01/2019 10:00:00 AM,092XX S LA SALLE ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0634,21,05,1176903,1843681,2019,41.726399407,-87.627579514,"(41.726399407, -87.627579514)"
JC234903,04/19/2019 03:00:00 PM,028XX N OAK PARK AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,"SCHOOL, PUBLIC, BUILDING",false,false,2511,36,26,1130603,1918029,2019,41.931339442,-87.795478823,"(41.931339442, -87.795478823)"
JC235009,04/12/2019 10:00:00 AM,039XX W 79TH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,"SCHOOL, PUBLIC, GROUNDS",false,false,0834,18,26,1151370,1851889,2019,41.749460005,-87.72089612,"(41.749460005, -87.72089612)"
JC235081,04/19/2019 09:56:00 AM,039XX W 47TH ST,0820,THEFT,$500 AND UNDER,DRUG STORE,false,false,0821,14,06,1150702,1873176,2019,41.807887928,-87.722790148,"(41.807887928, -87.722790148)"
JC235045,04/12/2019 09:00:00 AM,081XX S FAIRFIELD AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,OTHER,false,false,0835,18,10,1159458,1850580,2019,41.745706102,-87.69129393,"(41.745706102, -87.69129393)"
JC235085,04/14/2019 07:00:00 AM,027XX W JARLATH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,2411,50,11,1156886,1947973,2019,42.0130143,-87.698076834,"(42.0130143, -87.698076834)"
JC235044,04/02/2019 10:35:00 AM,014XX N MILWAUKEE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESTAURANT,false,false,1424,1,05,1163958,1909615,2019,41.907611279,-87.673142711,"(41.907611279, -87.673142711)"
JC235032,04/17/2019 08:00:00 AM,078XX S VINCENNES AVE,0810,THEFT,OVER $500,CTA GARAGE / OTHER PROPERTY,false,false,0623,17,06,1175130,1853144,2019,41.752406801,-87.633792381,"(41.752406801, -87.633792381)"
JC235057,04/19/2019 02:30:00 PM,014XX N MILWAUKEE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,1424,1,14,1163958,1909615,2019,41.907611279,-87.673142711,"(41.907611279, -87.673142711)"
JC235087,04/19/2019 05:00:00 PM,047XX S INDIANA AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0224,3,06,1178397,1873681,2019,41.808688894,-87.621197025,"(41.808688894, -87.621197025)"
JC235095,04/14/2019 02:28:00 AM,051XX W DIVISION ST,4389,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,STREET,false,true,1531,37,26,1141942,1907508,2019,41.902265932,-87.754070562,"(41.902265932, -87.754070562)"
JC235179,04/19/2019 03:30:00 AM,001XX E WALTON ST,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,false,false,1833,2,06,1177514,1906956,2019,41.900017769,-87.623426629,"(41.900017769, -87.623426629)"
JC235209,04/01/2019 10:00:00 AM,017XX S INDIANA AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,0132,3,06,1177933,1891878,2019,41.858633393,-87.622346444,"(41.858633393, -87.622346444)"
JC235192,04/09/2019 12:00:00 PM,049XX N MAGNOLIA AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,false,false,2033,47,11,1167048,1933038,2019,41.971819298,-87.66111705,"(41.971819298, -87.66111705)"
JC234954,04/12/2019 12:01:00 AM,111XX S LONGWOOD DR,0820,THEFT,$500 AND UNDER,OTHER,false,false,2212,19,06,1164880,1830928,2019,41.691665138,-87.671979744,"(41.691665138, -87.671979744)"
JC235246,04/18/2019 12:00:00 PM,009XX E 47TH ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,BANK,false,false,0222,4,11,1183185,1874042,2019,41.809569293,-87.603624629,"(41.809569293, -87.603624629)"
JC235171,04/08/2019 11:30:00 AM,046XX N SHERIDAN RD,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,RESIDENCE,false,false,1914,46,10,1168786,1930842,2019,41.965755808,-87.654790161,"(41.965755808, -87.654790161)"
JC235185,04/19/2019 03:00:00 PM,008XX E 49TH ST,0810,THEFT,OVER $500,APARTMENT,false,false,0223,4,06,1182763,1872705,2019,41.805910282,-87.605213982,"(41.805910282, -87.605213982)"
JC235193,04/15/2019 07:00:00 AM,009XX W MARGATE TER,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,2024,48,05,1169242,1933286,2019,41.972452294,-87.6530422,"(41.972452294, -87.6530422)"
JC235101,04/18/2019 04:14:00 PM,021XX N HARLEM AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,2512,29,11,1127742,1913523,2019,41.919023172,-87.80609452,"(41.919023172, -87.80609452)"
JC235058,04/15/2019 10:14:00 AM,0000X W WASHINGTON ST,1120,DECEPTIVE PRACTICE,FORGERY,GOVERNMENT BUILDING/PROPERTY,false,false,0112,42,10,1175732,1900816,2019,41.88320956,-87.630156699,"(41.88320956, -87.630156699)"
JC235186,04/09/2019 02:00:00 PM,012XX W 117TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0524,34,07,1169933,1827187,2019,41.681291267,-87.653588138,"(41.681291267, -87.653588138)"
JC235234,04/17/2019 11:30:00 AM,005XX W MADISON ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESTAURANT,false,true,0121,42,08A,1173039,1900311,2019,41.881883933,-87.640060441,"(41.881883933, -87.640060441)"
JC235339,04/18/2019 04:20:00 PM,027XX N KENMORE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,1935,43,06,1168792,1918248,2019,41.931197234,-87.655134506,"(41.931197234, -87.655134506)"
JC235254,04/19/2019 10:30:00 PM,029XX N SHERIDAN RD,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,1934,44,26,1173066,1919714,2019,41.93512615,-87.639384889,"(41.93512615, -87.639384889)"
JC235273,04/16/2019 09:00:00 AM,031XX W CERMAK RD,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,BANK,false,false,1033,12,10,1155948,1889214,2019,41.851794306,-87.703117482,"(41.851794306, -87.703117482)"
JC235381,04/15/2019 02:00:00 PM,015XX S ALBANY AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,1022,24,11,1155957,1892498,2019,41.860805785,-87.702995965,"(41.860805785, -87.702995965)"
JC235372,04/17/2019 12:00:00 AM,075XX W IRVING PARK RD,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1631,38,06,1124892,1925724,2019,41.952551872,-87.816295624,"(41.952551872, -87.816295624)"
JC235423,04/17/2019 06:00:00 PM,029XX S FEDERAL ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,0133,3,11,1176116,1885609,2019,41.841471897,-87.629204627,"(41.841471897, -87.629204627)"
JC235425,04/18/2019 08:20:00 PM,053XX S MULLIGAN AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,0811,23,26,1134947,1868597,2019,41.795614947,-87.780684482,"(41.795614947, -87.780684482)"
JC235405,04/12/2019 12:00:00 AM,075XX S WOOD ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,false,false,0611,17,11,1165661,1854537,2019,41.756435419,-87.668452806,"(41.756435419, -87.668452806)"
JC235227,04/17/2019 11:30:00 AM,084XX S PULASKI RD,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0834,18,08A,1151202,1848394,2019,41.739872397,-87.721602794,"(41.739872397, -87.721602794)"
JC235297,04/11/2019 06:00:00 PM,022XX E 69TH ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,false,true,0331,5,08B,1192226,1859649,2019,41.769858519,-87.570932462,"(41.769858519, -87.570932462)"
JC235516,04/01/2019 10:00:00 AM,017XX W NORTH AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,OTHER,false,false,1433,32,11,1164343,1910698,2019,41.910574965,-87.671697746,"(41.910574965, -87.671697746)"
JC235335,04/19/2019 01:30:00 PM,075XX S UNION AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0621,6,06,1172935,1855023,2019,41.757611705,-87.641780745,"(41.757611705, -87.641780745)"
